address,amount
0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,155667004400
0xadd45c99db68a6d16b328dd723b622b33c056657,18717370860
0x036b8593b217ceaa9a2b46ca52d3dc2bafaa29ab,11637341520
0x6d33ecd723155522d597682df1f0ac10e7d7d9ed,11454331320
0x82bd1487843704d2fd846788b69e9a7e06060f8f,5047707718
0xec8abfd5cce0198914d76c733b5a0763a88da24f,4862719106
0xbe9e8ec25866b21ba34e97b9393bcabbcb4a5c86,4842756020
0x0172e05392aba65366c4dbbb70d958bbf43304e4,4810301003
0xaebb8fdbd5e52f99630cebb80d0a1c19892eb4c2,4496620371
0xcb59b8a261bbb6ffcb376b4c198baa0bb896e6d6,3639086543
0x30a2837f3d319a3e1984de5a32c0df310e2496b7,3175747870
0xbf891e7efcc98a8239385d3172ba10ad593c7886,3010560612
0xab31ce2de92400249f6678a4c2a3ca8775d004c3,2255851016
0x226210768fa36ddc0bb2b45475ef7a8cc6d9e454,2179497758
0x98a513e3caf92d9a402caed7b470f58e3e061c84,2162928987
0x083e952464b4a8e988abe39868a652f9c2ad050e,1945943087
0x4c1a699166cd60473040d0618c47ad82251b9d0f,1856858861
0x9b3b4421ed744777208df210908cee33d28f76ef,1652756505
0xcb9055fc2a8f0f27041dc238574100a22df0c15e,1644043380
0xd6c194cc886cafb078889a625b62221b069e7c81,1539026119
0x0b3f0255a2b74392a60a1f4edad1345c2438d02e,1457961304
0x1701f10ea16e95648e3450488e1e2da9102774e5,1243226413
0x0e3843a33072db8f97ed2ea32fb9122a0b0b17e9,1225473650
0x82ab97707dfff79e4b43b35e5564d4064de87e3b,1208788921
0x4e5b56e8b3f770f7feb40ec60504b89b025a937a,1179394585
0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,1073175021
0xd49df59160c7de8468df8ebf0b15eea1bf870440,991145925
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,943450467
0x097790d228a564cbc7012f082cbcbc28288397bd,887451907
0xbbf15e008535cb93a7e2168038dc316c56faf791,830483776
0x5d1124fb77c539ec92e3ef853053bbce1e98271b,802039990
0x8f25be0cdc646f3ce0f10c24802751af9b7a7ee2,673365160
0x310321c3e8c64c01768e8f9915e8ef0841b023b5,662168601
0x539460bd8d7d6130ce6c4a65c0b59da3b3d2da42,661263214
0x4e5b56e8b3f770f7feb40ec60504b89b025a937a,655321485
0x8666cee0d852a331d78d93b3e8a9360915b3ffd3,663886204
0x310321c3e8c64c01768e8f9915e8ef0841b023b5,650652853
0x248c1e23d2ada0c5f464626669dd8b4e1552b38f,640623198
0x8e91249e90c1f6fff97a57d1fc83b9f9b5dbb0db,624375855
0x6d8eeb848e78d3a5053adc8144e1cca0bd0ce35c,597615189
0x078edd760ff5b5b4604fb338d3cf7b6d5355c7ec,585806494
0x2267f0e9a0ba51927354ff4456fafb681c0c8b24,553720102
0x6b91b852580cedb12ada3224d6c3ffac9fdc8123,549717516
0x90c290a07a52be5b6340dc971ca6c954d630bdcd,544136783
0xd16eec2f3a98c1df50bd9543ceca2bcd069d5196,535738881
0x280f9b5e49c08972d1d618c91d02a160873ae369,548099902
0x8ce6463048ba76a933fdc9bdc288765b6c09599c,522907518
0x14730014eea880f2d52ac0b67442c485242d9b9c,530087454
0x90c290a07a52be5b6340dc971ca6c954d630bdcd,513396623
0xf3c9bb7aaab08c20fbfbba8eeb216ac0b87fb37e,512573016
0x265b54e8306bedc9ad22ea508231582c73b8093e,524394425
0x4e5b2447077fbbe3bd3d69bee701344e9ca7a8dc,496283459
0x9030d5c596d636eefc8f0ad7b2788ae7e9ef3d46,491117022
0x47aec71688dbae99e9ab1bbfe889ac2cb85be306,479822814
0x3d99021cc2480dc1288338696538786c45ce3af6,477274586
0x4334703b0b74e2045926f82f4158a103fce1df4f,463824882
